order_id,restaurant_id,restaurant_type,restaurant_size,order_timestamp,for_timestamp,rider_arrival_timestamp,true_kpt_minutes,recorded_kpt_minutes,concurrent_orders,kitchen_load_score,mx_response_latency_sec,rejection_flag,is_peak_hour,is_contaminated,for_rider_delta_seconds,is_rider_influenced
ORD_00039,REST_015,cloud_kitchen,large,2024-01-07 21:12:00,2024-01-07 21:53:06,2024-01-07 21:51:06,40.1,41.1,13,0.85,7.51,0,1,0,120.0,0
ORD_00045,REST_045,fast_food,large,2024-03-16 17:08:00,2024-03-16 17:25:30,2024-03-16 17:28:30,17.5,17.5,10,0.5,6.53,0,0,0,-180.0,0
ORD_00047,REST_039,casual_dining,large,2024-06-16 10:29:00,2024-06-16 10:57:54,2024-06-16 11:01:54,28.9,28.9,10,0.5,6.32,0,0,0,-240.0,0
ORD_00049,REST_020,fast_food,large,2024-02-27 06:09:00,2024-02-27 06:32:42,2024-02-27 06:36:42,24.7,23.7,10,0.5,2.46,1,0,0,-240.0,0
ORD_00053,REST_040,casual_dining,small,2024-05-09 13:53:00,2024-05-09 14:30:42,2024-05-09 14:27:42,35.7,37.7,1,0.25,3.89,0,1,0,180.0,0
ORD_00055,REST_029,cloud_kitchen,large,2024-01-20 22:18:00,2024-01-20 22:51:06,2024-01-20 22:53:06,34.1,33.1,9,0.45,7.56,0,0,0,-120.0,0
ORD_00059,REST_032,fast_food,medium,2024-02-26 08:27:00,2024-02-26 08:45:42,2024-02-26 08:43:42,16.7,18.7,6,0.3,4.92,0,0,0,120.0,0
ORD_00065,REST_017,fast_food,large,2024-04-04 05:38:00,2024-04-04 06:17:48,2024-04-04 06:20:48,40.8,39.8,17,0.85,6.02,0,0,0,-180.0,0
ORD_00067,REST_005,casual_dining,medium,2024-05-31 22:53:00,2024-05-31 23:25:54,2024-05-31 23:32:54,33.9,32.9,4,0.2,0.86,0,0,0,-420.0,0
ORD_00068,REST_037,fast_food,large,2024-01-11 11:34:00,2024-01-11 12:10:24,2024-01-11 12:08:24,35.4,36.4,15,0.75,7.67,0,0,0,120.0,0
ORD_00069,REST_001,cloud_kitchen,large,2024-04-17 15:06:00,2024-04-17 15:32:48,2024-04-17 15:34:48,24.8,26.8,5,0.25,3.6,0,0,0,-120.0,0
ORD_00072,REST_030,cloud_kitchen,medium,2024-05-25 19:42:00,2024-05-25 20:13:48,2024-05-25 20:17:48,31.8,31.8,6,0.5,5.34,0,1,0,-240.0,0
ORD_00073,REST_032,fast_food,medium,2024-02-24 11:51:00,2024-02-24 12:12:42,2024-02-24 12:14:42,20.7,21.7,4,0.2,4.1,0,0,0,-120.0,0
ORD_00080,REST_018,fast_food,small,2024-01-12 01:35:00,2024-01-12 01:54:00,2024-01-12 01:57:00,17.0,19.0,4,0.2,4.01,0,0,0,-180.0,0
ORD_00082,REST_031,casual_dining,small,2024-01-30 02:25:00,2024-01-30 02:58:48,2024-01-30 03:00:48,33.8,33.8,3,0.15,4.11,0,0,0,-120.0,0
ORD_00083,REST_010,fast_food,large,2024-05-24 09:05:00,2024-05-24 09:37:12,2024-05-24 09:42:12,32.2,32.2,13,0.65,6.5,0,0,0,-300.0,0
ORD_00084,REST_050,casual_dining,medium,2024-05-13 12:28:00,2024-05-13 12:58:36,2024-05-13 13:00:36,29.6,30.6,8,0.6,7.59,0,1,0,-120.0,0
ORD_00087,REST_031,casual_dining,small,2024-03-15 01:14:00,2024-03-15 01:41:18,2024-03-15 01:46:18,28.3,27.3,3,0.15,1.79,0,0,0,-300.0,0
ORD_00088,REST_044,casual_dining,large,2024-02-29 08:50:00,2024-02-29 09:13:00,2024-02-29 09:15:00,23.0,23.0,4,0.2,4.55,0,0,0,-120.0,0
ORD_00093,REST_034,cloud_kitchen,small,2024-06-15 14:58:00,2024-06-15 15:25:24,2024-06-15 15:23:24,25.4,27.4,3,0.35,8.31,0,1,0,120.0,0
ORD_00098,REST_045,fast_food,large,2024-05-04 03:01:00,2024-05-04 03:27:42,2024-05-04 03:24:42,25.7,26.7,11,0.55,5.79,0,0,0,180.0,0
ORD_00099,REST_036,fast_food,medium,2024-01-04 17:26:00,2024-01-04 17:38:30,2024-01-04 17:42:30,12.5,12.5,2,0.1,2.52,0,0,0,-240.0,0
ORD_00105,REST_025,cloud_kitchen,small,2024-04-08 21:50:00,2024-04-08 22:17:12,2024-04-08 22:20:12,27.2,27.2,1,0.25,3.35,0,1,0,-180.0,0
ORD_00106,REST_033,casual_dining,medium,2024-05-31 10:55:00,2024-05-31 11:30:12,2024-05-31 11:26:12,33.2,35.2,9,0.45,5.5,1,0,0,240.0,0
ORD_00108,REST_022,cloud_kitchen,medium,2024-06-08 22:25:00,2024-06-08 22:48:06,2024-06-08 22:50:06,21.1,23.1,4,0.2,4.59,0,0,0,-120.0,0
ORD_00109,REST_021,fast_food,small,2024-06-09 22:56:00,2024-06-09 23:14:12,2024-06-09 23:11:12,18.2,18.2,2,0.1,3.09,0,0,0,180.0,0
ORD_00111,REST_029,cloud_kitchen,large,2024-02-12 22:19:00,2024-02-12 22:47:42,2024-02-12 22:49:42,27.7,28.7,8,0.4,2.63,0,0,0,-120.0,0
ORD_00112,REST_023,cloud_kitchen,small,2024-04-05 13:09:00,2024-04-05 13:40:18,2024-04-05 13:42:18,31.3,31.3,5,0.45,5.5,0,1,0,-120.0,0
ORD_00114,REST_015,cloud_kitchen,large,2024-04-28 20:16:00,2024-04-28 21:05:48,2024-04-28 21:09:48,49.8,49.8,21,1.0,10.26,0,1,0,-240.0,0
ORD_00117,REST_043,fast_food,small,2024-04-11 08:00:00,2024-04-11 08:14:30,2024-04-11 08:18:30,13.5,14.5,3,0.15,2.16,0,0,0,-240.0,0
ORD_00119,REST_043,fast_food,small,2024-06-23 04:40:00,2024-06-23 04:58:48,2024-06-23 05:02:48,19.8,18.8,2,0.1,6.32,0,0,0,-240.0,0
ORD_00122,REST_017,fast_food,large,2024-05-03 09:47:00,2024-05-03 10:10:30,2024-05-03 10:14:30,23.5,23.5,11,0.55,5.51,0,0,0,-240.0,0
ORD_00132,REST_009,cloud_kitchen,small,2024-05-24 06:04:00,2024-05-24 06:20:18,2024-05-24 06:18:18,16.3,16.3,1,0.05,2.19,0,0,0,120.0,0
ORD_00135,REST_009,cloud_kitchen,small,2024-04-17 16:07:00,2024-04-17 16:20:36,2024-04-17 16:22:36,14.6,13.6,3,0.15,5.72,0,0,0,-120.0,0
ORD_00137,REST_004,cloud_kitchen,large,2024-05-02 12:27:00,2024-05-02 13:09:18,2024-05-02 13:13:18,43.3,42.3,17,1.0,9.46,0,1,0,-240.0,0
ORD_00138,REST_006,fast_food,large,2024-03-23 19:09:00,2024-03-23 19:56:06,2024-03-23 19:58:06,46.1,47.1,22,1.0,11.23,1,1,0,-120.0,0
ORD_00143,REST_009,cloud_kitchen,small,2024-05-22 01:37:00,2024-05-22 01:56:30,2024-05-22 01:53:30,17.5,19.5,2,0.1,4.28,0,0,0,180.0,0
ORD_00144,REST_023,cloud_kitchen,small,2024-06-19 13:55:00,2024-06-19 14:18:12,2024-06-19 14:20:12,22.2,23.2,2,0.3,2.21,0,1,0,-120.0,0
ORD_00145,REST_007,fast_food,small,2024-05-27 16:13:00,2024-05-27 16:38:54,2024-05-27 16:36:54,24.9,25.9,2,0.1,2.08,0,0,0,120.0,0
ORD_00146,REST_036,fast_food,medium,2024-04-04 03:48:00,2024-04-04 03:57:42,2024-04-04 04:01:42,10.7,9.7,4,0.2,4.91,0,0,0,-240.0,0
ORD_00147,REST_039,casual_dining,large,2024-06-17 22:17:00,2024-06-17 22:54:12,2024-06-17 22:57:12,36.2,37.2,11,0.55,5.22,1,0,0,-180.0,0
ORD_00153,REST_003,fast_food,small,2024-02-26 12:38:00,2024-02-26 13:02:42,2024-02-26 13:04:42,24.7,24.7,6,0.5,6.73,1,1,0,-120.0,0
ORD_00163,REST_029,cloud_kitchen,large,2024-06-10 09:50:00,2024-06-10 10:18:36,2024-06-10 10:20:36,27.6,28.6,10,0.5,4.72,0,0,0,-120.0,0
ORD_00166,REST_037,fast_food,large,2024-06-15 06:20:00,2024-06-15 06:49:36,2024-06-15 06:45:36,27.6,29.6,7,0.35,7.07,0,0,0,240.0,0
ORD_00169,REST_004,cloud_kitchen,large,2024-06-10 20:21:00,2024-06-10 21:03:00,2024-06-10 21:07:00,41.0,42.0,15,0.95,6.49,1,1,0,-240.0,0
ORD_00170,REST_017,fast_food,large,2024-06-17 19:55:00,2024-06-17 20:26:18,2024-06-17 20:30:18,30.3,31.3,14,0.9,2.28,1,1,0,-240.0,0
ORD_00172,REST_036,fast_food,medium,2024-04-06 20:50:00,2024-04-06 21:25:48,2024-04-06 21:31:48,36.8,35.8,16,1.0,7.75,0,1,0,-360.0,0
ORD_00177,REST_029,cloud_kitchen,large,2024-06-05 09:48:00,2024-06-05 10:17:18,2024-06-05 10:15:18,28.3,29.3,12,0.6,7.61,0,0,0,120.0,0
ORD_00181,REST_029,cloud_kitchen,large,2024-05-11 04:53:00,2024-05-11 05:22:06,2024-05-11 05:26:06,30.1,29.1,12,0.6,6.37,0,0,0,-240.0,0
ORD_00186,REST_041,casual_dining,large,2024-06-08 14:04:00,2024-06-08 15:04:36,2024-06-08 15:06:36,60.6,60.6,22,1.0,6.99,1,1,0,-120.0,0
ORD_00188,REST_043,fast_food,small,2024-06-20 02:33:00,2024-06-20 02:46:18,2024-06-20 02:52:18,14.3,13.3,2,0.1,3.08,0,0,0,-360.0,0
ORD_00190,REST_005,casual_dining,medium,2024-03-29 07:46:00,2024-03-29 08:14:48,2024-03-29 08:18:48,27.8,28.8,5,0.25,2.8,0,0,0,-240.0,0
ORD_00191,REST_009,cloud_kitchen,small,2024-01-12 11:34:00,2024-01-12 11:56:18,2024-01-12 11:59:18,20.3,22.3,2,0.1,7.1,0,0,0,-180.0,0
ORD_00194,REST_019,fast_food,small,2024-04-01 01:55:00,2024-04-01 02:12:48,2024-04-01 02:09:48,15.8,17.8,1,0.05,5.95,0,0,0,180.0,0
ORD_00195,REST_026,fast_food,medium,2024-04-22 12:21:00,2024-04-22 12:47:36,2024-04-22 12:49:36,25.6,26.6,6,0.5,8.22,0,1,0,-120.0,0
ORD_00197,REST_043,fast_food,small,2024-03-16 09:28:00,2024-03-16 09:46:00,2024-03-16 09:44:00,17.0,18.0,1,0.05,3.42,0,0,0,120.0,0
ORD_00202,REST_042,fast_food,large,2024-03-12 07:07:00,2024-03-12 07:26:30,2024-03-12 07:30:30,20.5,19.5,12,0.6,4.16,1,0,0,-240.0,0
ORD_00203,REST_017,fast_food,large,2024-03-07 22:28:00,2024-03-07 22:57:00,2024-03-07 22:54:00,27.0,29.0,14,0.7,9.03,0,0,0,180.0,0
ORD_00207,REST_016,casual_dining,small,2024-05-06 00:23:00,2024-05-06 00:50:24,2024-05-06 00:52:24,27.4,27.4,1,0.05,3.01,0,0,0,-120.0,0
ORD_00209,REST_005,casual_dining,medium,2024-02-02 10:41:00,2024-02-02 11:10:54,2024-02-02 11:13:54,29.9,29.9,5,0.25,4.18,1,0,0,-180.0,0
ORD_00210,REST_050,casual_dining,medium,2024-05-21 20:37:00,2024-05-21 21:14:48,2024-05-21 21:18:48,38.8,37.8,7,0.55,8.0,0,1,0,-240.0,0
ORD_00214,REST_037,fast_food,large,2024-01-11 00:05:00,2024-01-11 00:34:06,2024-01-11 00:31:06,27.1,29.1,16,0.8,6.8,1,0,0,180.0,0
ORD_00215,REST_040,casual_dining,small,2024-06-12 00:31:00,2024-06-12 00:59:24,2024-06-12 00:57:24,27.4,28.4,3,0.15,3.96,0,0,0,120.0,0
ORD_00217,REST_030,cloud_kitchen,medium,2024-02-22 10:38:00,2024-02-22 11:06:12,2024-02-22 11:09:12,27.2,28.2,6,0.3,5.81,0,0,0,-180.0,0
ORD_00221,REST_032,fast_food,medium,2024-03-19 15:01:00,2024-03-19 15:25:30,2024-03-19 15:27:30,24.5,24.5,10,0.5,5.27,1,0,0,-120.0,0
ORD_00224,REST_024,fast_food,small,2024-01-12 12:03:00,2024-01-12 12:25:24,2024-01-12 12:28:24,23.4,22.4,2,0.3,6.96,0,1,0,-180.0,0
ORD_00225,REST_025,cloud_kitchen,small,2024-05-09 14:48:00,2024-05-09 15:10:24,2024-05-09 15:12:24,22.4,22.4,5,0.45,3.17,0,1,0,-120.0,0
ORD_00229,REST_011,cloud_kitchen,medium,2024-04-10 19:47:00,2024-04-10 20:18:54,2024-04-10 20:15:54,29.9,31.9,9,0.65,7.08,0,1,0,180.0,0
ORD_00231,REST_038,cloud_kitchen,large,2024-03-19 23:55:00,2024-03-20 00:28:24,2024-03-20 00:33:24,33.4,33.4,11,0.55,5.72,0,0,0,-300.0,0
ORD_00235,REST_043,fast_food,small,2024-05-02 16:24:00,2024-05-02 16:49:12,2024-05-02 16:51:12,24.2,25.2,3,0.15,2.5,0,0,0,-120.0,0
ORD_00236,REST_035,casual_dining,large,2024-03-31 21:49:00,2024-03-31 22:40:30,2024-03-31 22:43:30,51.5,51.5,19,1.0,8.95,0,1,0,-180.0,0
ORD_00239,REST_026,fast_food,medium,2024-03-29 04:18:00,2024-03-29 04:44:42,2024-03-29 04:46:42,25.7,26.7,6,0.3,5.35,1,0,0,-120.0,0
ORD_00240,REST_048,fast_food,medium,2024-05-02 06:12:00,2024-05-02 06:23:36,2024-05-02 06:26:36,11.6,11.6,2,0.1,1.85,0,0,0,-180.0,0
ORD_00241,REST_007,fast_food,small,2024-06-06 23:37:00,2024-06-06 23:50:18,2024-06-06 23:56:18,13.3,13.3,1,0.05,2.11,0,0,0,-360.0,0
ORD_00242,REST_041,casual_dining,large,2024-02-29 01:06:00,2024-02-29 01:44:00,2024-02-29 01:42:00,38.0,38.0,13,0.65,7.8,0,0,0,120.0,0
ORD_00244,REST_021,fast_food,small,2024-03-14 20:03:00,2024-03-14 20:26:30,2024-03-14 20:33:30,24.5,23.5,6,0.5,6.34,0,1,0,-420.0,0
ORD_00248,REST_046,fast_food,small,2024-02-17 00:47:00,2024-02-17 00:59:00,2024-02-17 01:02:00,12.0,12.0,3,0.15,2.14,0,0,0,-180.0,0
ORD_00252,REST_008,fast_food,medium,2024-04-29 09:10:00,2024-04-29 09:24:36,2024-04-29 09:27:36,15.6,14.6,6,0.3,5.3,0,0,0,-180.0,0
ORD_00254,REST_024,fast_food,small,2024-04-16 22:35:00,2024-04-16 22:49:42,2024-04-16 22:51:42,14.7,14.7,2,0.1,0.5,0,0,0,-120.0,0
ORD_00257,REST_044,casual_dining,large,2024-02-22 22:37:00,2024-02-22 23:01:54,2024-02-22 22:59:54,22.9,24.9,5,0.25,5.06,0,0,0,120.0,0
ORD_00262,REST_025,cloud_kitchen,small,2024-01-21 21:42:00,2024-01-21 22:10:36,2024-01-21 22:16:36,29.6,28.6,3,0.35,6.07,0,1,0,-360.0,0
ORD_00270,REST_041,casual_dining,large,2024-06-22 13:35:00,2024-06-22 14:28:36,2024-06-22 14:31:36,52.6,53.6,21,1.0,7.66,0,1,0,-180.0,0
ORD_00271,REST_045,fast_food,large,2024-04-16 13:09:00,2024-04-16 13:44:24,2024-04-16 13:48:24,35.4,35.4,11,0.75,5.55,0,1,0,-240.0,0
ORD_00273,REST_025,cloud_kitchen,small,2024-03-03 08:13:00,2024-03-03 08:28:24,2024-03-03 08:33:24,16.4,15.4,1,0.05,3.67,0,0,0,-300.0,0
ORD_00275,REST_049,casual_dining,medium,2024-05-30 23:42:00,2024-05-31 00:13:30,2024-05-31 00:11:30,30.5,31.5,3,0.15,4.71,0,0,0,120.0,0
ORD_00276,REST_020,fast_food,large,2024-01-04 06:59:00,2024-01-04 07:32:12,2024-01-04 07:36:12,31.2,33.2,10,0.5,7.68,0,0,0,-240.0,0
ORD_00278,REST_035,casual_dining,large,2024-06-15 11:19:00,2024-06-15 11:52:42,2024-06-15 11:50:42,31.7,33.7,9,0.45,4.92,0,0,0,120.0,0
ORD_00279,REST_049,casual_dining,medium,2024-03-22 06:23:00,2024-03-22 06:59:54,2024-03-22 07:04:54,36.9,36.9,10,0.5,6.83,0,0,0,-300.0,0
ORD_00284,REST_041,casual_dining,large,2024-02-29 02:45:00,2024-02-29 03:14:18,2024-02-29 03:19:18,30.3,29.3,10,0.5,6.74,0,0,0,-300.0,0
ORD_00285,REST_040,casual_dining,small,2024-06-12 21:59:00,2024-06-12 22:31:24,2024-06-12 22:35:24,33.4,32.4,4,0.4,7.5,0,1,0,-240.0,0
ORD_00286,REST_035,casual_dining,large,2024-05-21 13:00:00,2024-05-21 13:46:24,2024-05-21 13:50:24,47.4,46.4,19,1.0,9.79,1,1,0,-240.0,0
ORD_00288,REST_016,casual_dining,small,2024-02-19 19:33:00,2024-02-19 20:01:06,2024-02-19 20:03:06,29.1,28.1,3,0.35,5.83,0,1,0,-120.0,0
ORD_00289,REST_024,fast_food,small,2024-04-13 14:36:00,2024-04-13 14:56:12,2024-04-13 14:59:12,21.2,20.2,6,0.5,8.02,0,1,0,-180.0,0
ORD_00290,REST_042,fast_food,large,2024-06-15 01:05:00,2024-06-15 01:23:30,2024-06-15 01:26:30,19.5,18.5,9,0.45,5.52,0,0,0,-180.0,0
ORD_00291,REST_045,fast_food,large,2024-02-13 02:31:00,2024-02-13 02:51:12,2024-02-13 02:55:12,21.2,20.2,10,0.5,5.69,0,0,0,-240.0,0
ORD_00294,REST_049,casual_dining,medium,2024-04-11 02:19:00,2024-04-11 02:49:42,2024-04-11 02:51:42,28.7,30.7,6,0.3,3.24,0,0,0,-120.0,0
ORD_00295,REST_044,casual_dining,large,2024-05-18 10:24:00,2024-05-18 10:57:42,2024-05-18 11:01:42,32.7,33.7,7,0.35,5.03,0,0,0,-240.0,0
ORD_00302,REST_025,cloud_kitchen,small,2024-01-04 09:26:00,2024-01-04 09:46:18,2024-01-04 09:52:18,20.3,20.3,2,0.1,2.71,0,0,0,-360.0,0
ORD_00312,REST_035,casual_dining,large,2024-01-10 11:44:00,2024-01-10 12:17:42,2024-01-10 12:19:42,34.7,33.7,13,0.65,6.16,0,0,0,-120.0,0
ORD_00313,REST_007,fast_food,small,2024-03-04 21:42:00,2024-03-04 22:06:36,2024-03-04 22:01:36,22.6,24.6,3,0.35,6.31,0,1,0,300.0,0
ORD_00318,REST_045,fast_food,large,2024-04-25 10:04:00,2024-04-25 10:31:48,2024-04-25 10:33:48,28.8,27.8,14,0.7,7.28,0,0,0,-120.0,0
ORD_00324,REST_030,cloud_kitchen,medium,2024-06-07 05:52:00,2024-06-07 06:18:54,2024-06-07 06:21:54,26.9,26.9,7,0.35,4.81,0,0,0,-180.0,0
ORD_00326,REST_009,cloud_kitchen,small,2024-05-27 12:27:00,2024-05-27 12:54:30,2024-05-27 12:56:30,27.5,27.5,2,0.3,3.9,0,1,0,-120.0,0
ORD_00330,REST_015,cloud_kitchen,large,2024-03-15 01:17:00,2024-03-15 01:52:24,2024-03-15 01:50:24,33.4,35.4,10,0.5,2.24,0,0,0,120.0,0
ORD_00332,REST_049,casual_dining,medium,2024-04-22 17:13:00,2024-04-22 17:40:06,2024-04-22 17:46:06,27.1,27.1,6,0.3,5.83,0,0,0,-360.0,0
ORD_00333,REST_020,fast_food,large,2024-01-09 14:16:00,2024-01-09 14:47:24,2024-01-09 14:52:24,32.4,31.4,15,0.95,8.26,0,1,0,-300.0,0
ORD_00334,REST_050,casual_dining,medium,2024-03-01 06:51:00,2024-03-01 07:17:24,2024-03-01 07:19:24,24.4,26.4,3,0.15,0.92,0,0,0,-120.0,0
ORD_00336,REST_039,casual_dining,large,2024-05-17 05:20:00,2024-05-17 05:58:18,2024-05-17 06:00:18,39.3,38.3,15,0.75,6.59,0,0,0,-120.0,0
ORD_00337,REST_009,cloud_kitchen,small,2024-04-15 01:17:00,2024-04-15 01:40:48,2024-04-15 01:45:48,23.8,23.8,1,0.05,3.36,0,0,0,-300.0,0
ORD_00339,REST_027,cloud_kitchen,medium,2024-04-06 14:04:00,2024-04-06 14:44:54,2024-04-06 14:47:54,39.9,40.9,14,0.9,6.05,0,1,0,-180.0,0
ORD_00342,REST_018,fast_food,small,2024-03-23 09:21:00,2024-03-23 09:29:54,2024-03-23 09:32:54,7.9,8.9,1,0.05,2.14,0,0,0,-180.0,0
ORD_00345,REST_018,fast_food,small,2024-01-24 20:23:00,2024-01-24 20:47:06,2024-01-24 20:51:06,24.1,24.1,5,0.45,3.92,0,1,0,-240.0,0
ORD_00346,REST_004,cloud_kitchen,large,2024-04-11 20:19:00,2024-04-11 21:04:30,2024-04-11 21:08:30,46.5,45.5,16,1.0,7.97,0,1,0,-240.0,0
ORD_00347,REST_001,cloud_kitchen,large,2024-02-24 15:04:00,2024-02-24 15:20:48,2024-02-24 15:25:48,17.8,16.8,6,0.3,2.43,0,0,0,-300.0,0
ORD_00350,REST_009,cloud_kitchen,small,2024-06-13 21:09:00,2024-06-13 21:34:24,2024-06-13 21:31:24,25.4,25.4,3,0.35,3.42,1,1,0,180.0,0
ORD_00358,REST_014,fast_food,medium,2024-01-11 01:50:00,2024-01-11 02:10:18,2024-01-11 02:12:18,18.3,20.3,6,0.3,2.84,0,0,0,-120.0,0
ORD_00360,REST_033,casual_dining,medium,2024-02-22 04:34:00,2024-02-22 05:03:18,2024-02-22 05:06:18,30.3,29.3,7,0.35,4.04,0,0,0,-180.0,0
ORD_00365,REST_041,casual_dining,large,2024-01-20 15:29:00,2024-01-20 15:55:54,2024-01-20 15:59:54,26.9,26.9,7,0.35,2.86,0,0,0,-240.0,0
ORD_00366,REST_024,fast_food,small,2024-02-10 08:49:00,2024-02-10 09:00:12,2024-02-10 09:02:12,11.2,11.2,3,0.15,3.49,0,0,0,-120.0,0
ORD_00369,REST_021,fast_food,small,2024-03-10 02:36:00,2024-03-10 02:51:30,2024-03-10 02:53:30,15.5,15.5,2,0.1,2.96,0,0,0,-120.0,0
ORD_00373,REST_010,fast_food,large,2024-01-02 13:01:00,2024-01-02 13:49:48,2024-01-02 13:54:48,49.8,48.8,24,1.0,7.8,1,1,0,-300.0,0
ORD_00378,REST_021,fast_food,small,2024-04-25 08:14:00,2024-04-25 08:25:00,2024-04-25 08:27:00,12.0,11.0,1,0.05,2.06,0,0,0,-120.0,0
ORD_00379,REST_010,fast_food,large,2024-01-28 05:28:00,2024-01-28 05:48:42,2024-01-28 05:46:42,20.7,20.7,10,0.5,5.5,0,0,0,120.0,0
ORD_00382,REST_026,fast_food,medium,2024-05-11 01:43:00,2024-05-11 02:09:24,2024-05-11 02:07:24,24.4,26.4,7,0.35,4.76,0,0,0,120.0,0
ORD_00384,REST_015,cloud_kitchen,large,2024-02-03 06:52:00,2024-02-03 07:24:54,2024-02-03 07:30:54,33.9,32.9,13,0.65,4.52,0,0,0,-360.0,0
ORD_00386,REST_008,fast_food,medium,2024-01-11 14:03:00,2024-01-11 14:24:30,2024-01-11 14:22:30,19.5,21.5,2,0.3,3.56,0,1,0,120.0,0
ORD_00388,REST_018,fast_food,small,2024-04-24 04:02:00,2024-04-24 04:13:54,2024-04-24 04:09:54,9.9,11.9,1,0.05,1.23,0,0,0,240.0,0
ORD_00390,REST_034,cloud_kitchen,small,2024-03-04 20:51:00,2024-03-04 21:15:18,2024-03-04 21:18:18,23.3,24.3,3,0.35,5.53,0,1,0,-180.0,0
ORD_00392,REST_039,casual_dining,large,2024-02-26 00:57:00,2024-02-26 01:33:42,2024-02-26 01:30:42,34.7,36.7,11,0.55,6.36,0,0,0,180.0,0
ORD_00400,REST_038,cloud_kitchen,large,2024-01-26 10:19:00,2024-01-26 10:44:36,2024-01-26 10:47:36,23.6,25.6,8,0.4,4.66,0,0,0,-180.0,0
ORD_00407,REST_027,cloud_kitchen,medium,2024-05-06 12:22:00,2024-05-06 13:00:00,2024-05-06 13:04:00,38.0,38.0,7,0.55,5.49,0,1,0,-240.0,0
ORD_00411,REST_013,cloud_kitchen,large,2024-04-14 22:35:00,2024-04-14 23:06:36,2024-04-14 23:04:36,30.6,31.6,10,0.5,5.02,0,0,0,120.0,0
ORD_00416,REST_030,cloud_kitchen,medium,2024-03-08 07:53:00,2024-03-08 08:18:30,2024-03-08 08:21:30,26.5,25.5,6,0.3,4.57,0,0,0,-180.0,0
ORD_00417,REST_006,fast_food,large,2024-06-20 11:51:00,2024-06-20 12:14:00,2024-06-20 12:10:00,21.0,23.0,7,0.35,3.68,0,0,0,240.0,0
ORD_00419,REST_020,fast_food,large,2024-01-21 12:57:00,2024-01-21 13:38:24,2024-01-21 13:43:24,41.4,41.4,21,1.0,10.71,0,1,0,-300.0,0
ORD_00421,REST_028,cloud_kitchen,medium,2024-02-21 20:09:00,2024-02-21 20:39:36,2024-02-21 20:41:36,31.6,30.6,8,0.6,9.15,0,1,0,-120.0,0
ORD_00422,REST_006,fast_food,large,2024-04-09 17:25:00,2024-04-09 17:41:18,2024-04-09 17:45:18,17.3,16.3,5,0.25,5.37,0,0,0,-240.0,0
ORD_00429,REST_006,fast_food,large,2024-02-18 14:13:00,2024-02-18 14:37:30,2024-02-18 14:39:30,23.5,24.5,17,1.0,7.46,0,1,0,-120.0,0
