order_id,restaurant_id,restaurant_type,restaurant_size,order_timestamp,for_timestamp,rider_arrival_timestamp,true_kpt_minutes,recorded_kpt_minutes,concurrent_orders,kitchen_load_score,mx_response_latency_sec,rejection_flag,is_peak_hour,is_contaminated
ORD_00027,REST_030,cloud_kitchen,medium,2024-03-21 02:00:00,2024-03-21 02:19:55,2024-03-21 02:19:42,22.7,24.9,5,0.25,3.08,0,0,1
ORD_00028,REST_009,cloud_kitchen,small,2024-03-30 02:56:00,2024-03-30 03:29:34,2024-03-30 03:29:00,33.0,44.0,4,0.2,6.05,0,0,1
ORD_00029,REST_040,casual_dining,small,2024-06-16 16:00:00,2024-06-16 16:27:00,2024-06-16 16:27:00,28.0,27.0,1,0.05,1.09,0,0,0
ORD_00030,REST_009,cloud_kitchen,small,2024-03-08 03:56:00,2024-03-08 04:22:02,2024-03-08 04:21:24,27.4,30.3,5,0.25,4.59,0,0,1
ORD_00031,REST_022,cloud_kitchen,medium,2024-02-22 21:40:00,2024-02-22 22:02:40,2024-02-22 22:01:42,21.7,30.7,3,0.35,5.01,0,1,1
ORD_00032,REST_006,fast_food,large,2024-06-11 13:53:00,2024-06-11 14:31:12,2024-06-11 14:33:12,37.2,38.2,20,1.0,9.1,0,1,0
ORD_00033,REST_011,cloud_kitchen,medium,2024-04-23 17:45:00,2024-04-23 18:10:14,2024-04-23 18:09:18,23.3,33.0,7,0.35,2.7,0,0,1
ORD_00034,REST_010,fast_food,large,2024-05-19 01:53:00,2024-05-19 02:16:02,2024-05-19 02:16:00,25.0,27.5,9,0.45,7.06,0,0,1
ORD_00035,REST_003,fast_food,small,2024-04-01 06:43:00,2024-04-01 07:04:30,2024-04-01 07:05:30,19.5,21.5,3,0.15,2.31,0,0,0
ORD_00036,REST_040,casual_dining,small,2024-02-09 07:55:00,2024-02-09 08:23:53,2024-02-09 08:23:06,25.1,39.8,1,0.05,1.64,0,0,1
ORD_00037,REST_027,cloud_kitchen,medium,2024-06-20 23:51:00,2024-06-21 00:22:43,2024-06-21 00:21:48,25.8,35.3,4,0.2,3.81,0,0,1
ORD_00038,REST_031,casual_dining,small,2024-02-26 06:52:00,2024-02-26 07:22:12,2024-02-26 07:23:12,30.2,30.2,4,0.2,3.33,0,0,0
ORD_00039,REST_015,cloud_kitchen,large,2024-01-07 21:12:00,2024-01-07 21:53:06,2024-01-07 21:51:06,40.1,41.1,13,0.85,7.51,0,1,0
ORD_00040,REST_023,cloud_kitchen,small,2024-06-13 16:25:00,2024-06-13 16:38:36,2024-06-13 16:38:36,14.6,13.6,1,0.05,3.34,0,0,0
ORD_00041,REST_017,fast_food,large,2024-02-15 18:16:00,2024-02-15 18:49:50,2024-02-15 18:49:00,33.0,40.4,14,0.7,8.12,1,0,1
ORD_00042,REST_039,casual_dining,large,2024-05-10 03:24:00,2024-05-10 04:01:21,2024-05-10 04:00:54,34.9,41.1,9,0.45,6.02,0,0,1
ORD_00043,REST_035,casual_dining,large,2024-06-24 23:47:00,2024-06-25 00:28:12,2024-06-25 00:27:30,38.5,56.7,10,0.5,6.36,0,0,1
ORD_00044,REST_040,casual_dining,small,2024-03-21 21:54:00,2024-03-21 22:30:44,2024-03-21 22:30:18,33.3,44.0,5,0.45,4.52,1,1,1
ORD_00045,REST_045,fast_food,large,2024-03-16 17:08:00,2024-03-16 17:25:30,2024-03-16 17:28:30,17.5,17.5,10,0.5,6.53,0,0,0
ORD_00046,REST_040,casual_dining,small,2024-05-25 09:25:00,2024-05-25 09:50:21,2024-05-25 09:49:54,21.9,33.9,1,0.05,1.91,0,0,1
ORD_00047,REST_039,casual_dining,large,2024-06-16 10:29:00,2024-06-16 10:57:54,2024-06-16 11:01:54,28.9,28.9,10,0.5,6.32,0,0,0
ORD_00048,REST_043,fast_food,small,2024-01-22 09:32:00,2024-01-22 09:42:24,2024-01-22 09:41:36,10.6,12.2,1,0.05,3.32,0,0,1
ORD_00049,REST_020,fast_food,large,2024-02-27 06:09:00,2024-02-27 06:32:42,2024-02-27 06:36:42,24.7,23.7,10,0.5,2.46,1,0,0
ORD_00050,REST_030,cloud_kitchen,medium,2024-04-16 20:36:00,2024-04-16 21:07:15,2024-04-16 21:07:06,30.1,40.5,7,0.55,3.95,0,1,1
ORD_00051,REST_001,cloud_kitchen,large,2024-01-28 13:14:00,2024-01-28 13:54:27,2024-01-28 13:54:12,40.2,55.6,13,0.85,9.9,1,1,1
ORD_00052,REST_008,fast_food,medium,2024-04-26 04:51:00,2024-04-26 05:10:36,2024-04-26 05:09:36,17.6,19.6,7,0.35,6.65,0,0,0
ORD_00053,REST_040,casual_dining,small,2024-05-09 13:53:00,2024-05-09 14:30:42,2024-05-09 14:27:42,35.7,37.7,1,0.25,3.89,0,1,0
ORD_00054,REST_029,cloud_kitchen,large,2024-03-07 07:53:00,2024-03-07 08:17:36,2024-03-07 08:16:36,23.6,24.6,5,0.25,2.31,0,0,0
ORD_00055,REST_029,cloud_kitchen,large,2024-01-20 22:18:00,2024-01-20 22:51:06,2024-01-20 22:53:06,34.1,33.1,9,0.45,7.56,0,0,0
ORD_00056,REST_009,cloud_kitchen,small,2024-02-08 07:24:00,2024-02-08 07:37:51,2024-02-08 07:37:30,13.5,17.5,1,0.05,5.41,0,0,1
ORD_00057,REST_027,cloud_kitchen,medium,2024-01-16 06:53:00,2024-01-16 07:18:56,2024-01-16 07:18:00,23.0,34.5,4,0.2,3.7,0,0,1
ORD_00058,REST_025,cloud_kitchen,small,2024-05-02 00:22:00,2024-05-02 00:52:00,2024-05-02 00:53:00,30.0,30.0,3,0.15,2.83,0,0,0
ORD_00059,REST_032,fast_food,medium,2024-02-26 08:27:00,2024-02-26 08:45:42,2024-02-26 08:43:42,16.7,18.7,6,0.3,4.92,0,0,0
ORD_00060,REST_047,casual_dining,small,2024-02-12 14:58:00,2024-02-12 15:31:01,2024-02-12 15:30:36,31.6,42.2,1,0.25,3.37,0,1,1
ORD_00061,REST_043,fast_food,small,2024-01-07 02:41:00,2024-01-07 02:59:24,2024-01-07 02:59:00,19.0,22.0,1,0.05,4.68,0,0,1
ORD_00062,REST_030,cloud_kitchen,medium,2024-03-24 10:48:00,2024-03-24 11:15:17,2024-03-24 11:15:12,25.2,33.9,8,0.4,6.92,0,0,1
ORD_00063,REST_048,fast_food,medium,2024-05-18 01:22:00,2024-05-18 01:48:31,2024-05-18 01:48:30,20.5,36.7,7,0.35,6.71,0,0,1
ORD_00064,REST_013,cloud_kitchen,large,2024-01-06 19:09:00,2024-01-06 19:53:55,2024-01-06 19:53:42,41.7,55.7,16,1.0,8.49,1,1,1
ORD_00065,REST_017,fast_food,large,2024-04-04 05:38:00,2024-04-04 06:17:48,2024-04-04 06:20:48,40.8,39.8,17,0.85,6.02,0,0,0
ORD_00066,REST_038,cloud_kitchen,large,2024-01-07 09:36:00,2024-01-07 10:06:48,2024-01-07 10:07:48,30.8,30.8,8,0.4,6.74,0,0,0
ORD_00067,REST_005,casual_dining,medium,2024-05-31 22:53:00,2024-05-31 23:25:54,2024-05-31 23:32:54,33.9,32.9,4,0.2,0.86,0,0,0
ORD_00068,REST_037,fast_food,large,2024-01-11 11:34:00,2024-01-11 12:10:24,2024-01-11 12:08:24,35.4,36.4,15,0.75,7.67,0,0,0
ORD_00069,REST_001,cloud_kitchen,large,2024-04-17 15:06:00,2024-04-17 15:32:48,2024-04-17 15:34:48,24.8,26.8,5,0.25,3.6,0,0,0
ORD_00070,REST_046,fast_food,small,2024-02-09 13:11:00,2024-02-09 13:31:42,2024-02-09 13:32:42,18.7,20.7,3,0.35,6.48,0,1,0
ORD_00071,REST_030,cloud_kitchen,medium,2024-04-21 23:37:00,2024-04-22 00:03:52,2024-04-22 00:03:24,26.4,31.5,7,0.35,4.3,0,0,1
ORD_00072,REST_030,cloud_kitchen,medium,2024-05-25 19:42:00,2024-05-25 20:13:48,2024-05-25 20:17:48,31.8,31.8,6,0.5,5.34,0,1,0
ORD_00073,REST_032,fast_food,medium,2024-02-24 11:51:00,2024-02-24 12:12:42,2024-02-24 12:14:42,20.7,21.7,4,0.2,4.1,0,0,0
ORD_00074,REST_036,fast_food,medium,2024-01-03 16:12:00,2024-01-03 16:39:42,2024-01-03 16:40:42,27.7,27.7,7,0.35,6.55,1,0,0
ORD_00075,REST_045,fast_food,large,2024-05-01 20:45:00,2024-05-01 21:36:07,2024-05-01 21:35:42,49.7,66.8,24,1.0,7.83,0,1,1
ORD_00076,REST_020,fast_food,large,2024-06-18 18:23:00,2024-06-18 18:42:35,2024-06-18 18:41:48,19.8,24.8,11,0.55,5.51,0,0,1
ORD_00077,REST_023,cloud_kitchen,small,2024-06-28 14:17:00,2024-06-28 14:50:54,2024-06-28 14:49:54,32.9,33.9,2,0.3,5.01,0,1,0
ORD_00078,REST_008,fast_food,medium,2024-05-17 22:11:00,2024-05-17 22:32:54,2024-05-17 22:31:54,20.9,21.9,9,0.45,7.02,0,0,0
ORD_00079,REST_007,fast_food,small,2024-02-19 09:14:00,2024-02-19 09:28:06,2024-02-19 09:27:06,14.1,14.1,2,0.1,4.01,0,0,0
ORD_00080,REST_018,fast_food,small,2024-01-12 01:35:00,2024-01-12 01:54:00,2024-01-12 01:57:00,17.0,19.0,4,0.2,4.01,0,0,0
ORD_00081,REST_007,fast_food,small,2024-01-04 18:18:00,2024-01-04 18:36:57,2024-01-04 18:36:54,18.9,22.3,4,0.2,1.95,0,0,1
ORD_00082,REST_031,casual_dining,small,2024-01-30 02:25:00,2024-01-30 02:58:48,2024-01-30 03:00:48,33.8,33.8,3,0.15,4.11,0,0,0
ORD_00083,REST_010,fast_food,large,2024-05-24 09:05:00,2024-05-24 09:37:12,2024-05-24 09:42:12,32.2,32.2,13,0.65,6.5,0,0,0
ORD_00084,REST_050,casual_dining,medium,2024-05-13 12:28:00,2024-05-13 12:58:36,2024-05-13 13:00:36,29.6,30.6,8,0.6,7.59,0,1,0
ORD_00085,REST_037,fast_food,large,2024-06-07 01:39:00,2024-06-07 02:05:42,2024-06-07 02:06:42,25.7,26.7,9,0.45,4.85,0,0,0
ORD_00086,REST_043,fast_food,small,2024-01-21 05:15:00,2024-01-21 05:32:52,2024-01-21 05:32:24,15.4,23.3,3,0.15,1.19,0,0,1
ORD_00087,REST_031,casual_dining,small,2024-03-15 01:14:00,2024-03-15 01:41:18,2024-03-15 01:46:18,28.3,27.3,3,0.15,1.79,0,0,0
ORD_00088,REST_044,casual_dining,large,2024-02-29 08:50:00,2024-02-29 09:13:00,2024-02-29 09:15:00,23.0,23.0,4,0.2,4.55,0,0,0
ORD_00089,REST_028,cloud_kitchen,medium,2024-01-30 17:14:00,2024-01-30 17:34:58,2024-01-30 17:34:48,20.8,28.0,5,0.25,3.45,0,0,1
ORD_00090,REST_039,casual_dining,large,2024-05-25 09:28:00,2024-05-25 09:57:23,2024-05-25 09:57:06,25.1,36.7,6,0.3,4.34,0,0,1
ORD_00091,REST_032,fast_food,medium,2024-04-22 02:38:00,2024-04-22 03:02:52,2024-04-22 03:02:36,21.6,27.5,4,0.2,4.77,1,0,1
ORD_00092,REST_015,cloud_kitchen,large,2024-06-21 18:37:00,2024-06-21 19:02:18,2024-06-21 19:01:30,21.5,29.2,5,0.25,5.53,0,0,1
ORD_00093,REST_034,cloud_kitchen,small,2024-06-15 14:58:00,2024-06-15 15:25:24,2024-06-15 15:23:24,25.4,27.4,3,0.35,8.31,0,1,0
ORD_00094,REST_006,fast_food,large,2024-04-30 11:26:00,2024-04-30 11:47:32,2024-04-30 11:46:48,18.8,26.9,9,0.45,6.53,0,0,1
ORD_00095,REST_043,fast_food,small,2024-04-12 17:02:00,2024-04-12 17:09:37,2024-04-12 17:08:48,5.8,9.3,3,0.15,6.04,0,0,1
ORD_00096,REST_033,casual_dining,medium,2024-01-01 21:55:00,2024-01-01 22:24:59,2024-01-01 22:24:36,31.6,38.6,5,0.45,4.09,0,1,1
ORD_00097,REST_032,fast_food,medium,2024-06-09 14:48:00,2024-06-09 15:16:18,2024-06-09 15:16:00,25.0,34.8,11,0.75,8.84,1,1,1
ORD_00098,REST_045,fast_food,large,2024-05-04 03:01:00,2024-05-04 03:27:42,2024-05-04 03:24:42,25.7,26.7,11,0.55,5.79,0,0,0
ORD_00099,REST_036,fast_food,medium,2024-01-04 17:26:00,2024-01-04 17:38:30,2024-01-04 17:42:30,12.5,12.5,2,0.1,2.52,0,0,0
ORD_00100,REST_032,fast_food,medium,2024-03-15 16:45:00,2024-03-15 17:06:05,2024-03-15 17:05:30,19.5,24.1,4,0.2,0.5,0,0,1
ORD_00101,REST_013,cloud_kitchen,large,2024-06-02 16:47:00,2024-06-02 17:16:12,2024-06-02 17:17:12,27.2,29.2,7,0.35,5.54,0,0,0
ORD_00102,REST_022,cloud_kitchen,medium,2024-05-09 08:52:00,2024-05-09 09:07:00,2024-05-09 09:08:00,13.0,15.0,5,0.25,4.67,1,0,0
ORD_00103,REST_010,fast_food,large,2024-04-24 17:30:00,2024-04-24 17:55:35,2024-04-24 17:54:36,23.6,30.6,7,0.35,2.46,0,0,1
ORD_00104,REST_013,cloud_kitchen,large,2024-06-27 07:36:00,2024-06-27 07:59:18,2024-06-27 07:58:48,24.8,30.6,11,0.55,9.93,0,0,1
ORD_00105,REST_025,cloud_kitchen,small,2024-04-08 21:50:00,2024-04-08 22:17:12,2024-04-08 22:20:12,27.2,27.2,1,0.25,3.35,0,1,0
ORD_00106,REST_033,casual_dining,medium,2024-05-31 10:55:00,2024-05-31 11:30:12,2024-05-31 11:26:12,33.2,35.2,9,0.45,5.5,1,0,0
ORD_00107,REST_001,cloud_kitchen,large,2024-02-06 13:55:00,2024-02-06 14:40:54,2024-02-06 14:39:54,44.9,45.9,13,0.85,7.98,0,1,0
ORD_00108,REST_022,cloud_kitchen,medium,2024-06-08 22:25:00,2024-06-08 22:48:06,2024-06-08 22:50:06,21.1,23.1,4,0.2,4.59,0,0,0
ORD_00109,REST_021,fast_food,small,2024-06-09 22:56:00,2024-06-09 23:14:12,2024-06-09 23:11:12,18.2,18.2,2,0.1,3.09,0,0,0
ORD_00110,REST_041,casual_dining,large,2024-06-24 09:14:00,2024-06-24 09:41:42,2024-06-24 09:40:42,28.7,27.7,13,0.65,5.24,0,0,0
ORD_00111,REST_029,cloud_kitchen,large,2024-02-12 22:19:00,2024-02-12 22:47:42,2024-02-12 22:49:42,27.7,28.7,8,0.4,2.63,0,0,0
ORD_00112,REST_023,cloud_kitchen,small,2024-04-05 13:09:00,2024-04-05 13:40:18,2024-04-05 13:42:18,31.3,31.3,5,0.45,5.5,0,1,0
ORD_00113,REST_011,cloud_kitchen,medium,2024-02-14 02:39:00,2024-02-14 03:05:04,2024-02-14 03:04:06,23.1,33.2,7,0.35,3.11,0,0,1
ORD_00114,REST_015,cloud_kitchen,large,2024-04-28 20:16:00,2024-04-28 21:05:48,2024-04-28 21:09:48,49.8,49.8,21,1.0,10.26,0,1,0
ORD_00115,REST_005,casual_dining,medium,2024-04-23 11:37:00,2024-04-23 12:07:06,2024-04-23 12:06:12,26.2,35.8,5,0.25,6.18,0,0,1
ORD_00116,REST_025,cloud_kitchen,small,2024-05-03 03:15:00,2024-05-03 03:41:50,2024-05-03 03:41:06,23.1,31.9,1,0.05,4.7,0,0,1
ORD_00117,REST_043,fast_food,small,2024-04-11 08:00:00,2024-04-11 08:14:30,2024-04-11 08:18:30,13.5,14.5,3,0.15,2.16,0,0,0
ORD_00118,REST_050,casual_dining,medium,2024-02-28 19:51:00,2024-02-28 20:36:00,2024-02-28 20:35:12,40.2,59.2,9,0.65,8.92,0,1,1
ORD_00119,REST_043,fast_food,small,2024-06-23 04:40:00,2024-06-23 04:58:48,2024-06-23 05:02:48,19.8,18.8,2,0.1,6.32,0,0,0
ORD_00120,REST_038,cloud_kitchen,large,2024-04-03 23:08:00,2024-04-03 23:36:18,2024-04-03 23:37:18,28.3,28.3,9,0.45,3.77,1,0,0
ORD_00121,REST_013,cloud_kitchen,large,2024-02-03 17:56:00,2024-02-03 18:25:36,2024-02-03 18:26:36,29.6,29.6,6,0.3,4.58,0,0,0
ORD_00122,REST_017,fast_food,large,2024-05-03 09:47:00,2024-05-03 10:10:30,2024-05-03 10:14:30,23.5,23.5,11,0.55,5.51,0,0,0
ORD_00123,REST_049,casual_dining,medium,2024-02-27 21:46:00,2024-02-27 22:19:44,2024-02-27 22:18:54,30.9,41.1,6,0.5,7.41,0,1,1
ORD_00124,REST_017,fast_food,large,2024-05-17 03:29:00,2024-05-17 03:54:52,2024-05-17 03:54:12,22.2,35.7,9,0.45,3.56,0,0,1
ORD_00125,REST_007,fast_food,small,2024-06-21 07:30:00,2024-06-21 07:42:36,2024-06-21 07:41:36,12.6,12.6,1,0.05,4.46,1,0,0
ORD_00126,REST_042,fast_food,large,2024-01-17 20:52:00,2024-01-17 21:34:26,2024-01-17 21:34:18,38.3,47.3,16,1.0,6.47,0,1,1
ORD_00127,REST_003,fast_food,small,2024-03-18 15:07:00,2024-03-18 15:19:59,2024-03-18 15:19:36,14.6,16.9,2,0.1,7.36,0,0,1
ORD_00128,REST_048,fast_food,medium,2024-06-27 17:26:00,2024-06-27 17:40:24,2024-06-27 17:41:24,12.4,14.4,4,0.2,7.85,0,0,0
ORD_00129,REST_040,casual_dining,small,2024-04-14 08:02:00,2024-04-14 08:34:27,2024-04-14 08:34:12,29.2,44.0,1,0.05,2.87,0,0,1
ORD_00130,REST_007,fast_food,small,2024-06-24 11:34:00,2024-06-24 11:48:24,2024-06-24 11:48:12,15.2,20.0,2,0.1,1.73,0,0,1
ORD_00131,REST_030,cloud_kitchen,medium,2024-01-24 21:13:00,2024-01-24 21:38:39,2024-01-24 21:38:18,28.3,30.1,7,0.55,6.48,0,1,1
ORD_00132,REST_009,cloud_kitchen,small,2024-05-24 06:04:00,2024-05-24 06:20:18,2024-05-24 06:18:18,16.3,16.3,1,0.05,2.19,0,0,0
ORD_00133,REST_022,cloud_kitchen,medium,2024-02-07 19:00:00,2024-02-07 19:28:42,2024-02-07 19:29:42,28.7,28.7,6,0.5,5.14,0,1,0
ORD_00134,REST_008,fast_food,medium,2024-06-18 00:08:00,2024-06-18 00:40:53,2024-06-18 00:40:42,28.7,38.8,8,0.4,2.5,1,0,1
ORD_00135,REST_009,cloud_kitchen,small,2024-04-17 16:07:00,2024-04-17 16:20:36,2024-04-17 16:22:36,14.6,13.6,3,0.15,5.72,0,0,0
ORD_00136,REST_029,cloud_kitchen,large,2024-05-08 07:39:00,2024-05-08 07:56:54,2024-05-08 07:56:54,18.9,17.9,8,0.4,6.87,1,0,0
ORD_00137,REST_004,cloud_kitchen,large,2024-05-02 12:27:00,2024-05-02 13:09:18,2024-05-02 13:13:18,43.3,42.3,17,1.0,9.46,0,1,0
ORD_00138,REST_006,fast_food,large,2024-03-23 19:09:00,2024-03-23 19:56:06,2024-03-23 19:58:06,46.1,47.1,22,1.0,11.23,1,1,0
ORD_00139,REST_025,cloud_kitchen,small,2024-06-01 16:18:00,2024-06-01 16:38:20,2024-06-01 16:37:36,19.6,23.1,1,0.05,1.32,0,0,1
ORD_00140,REST_042,fast_food,large,2024-06-15 17:46:00,2024-06-15 18:11:48,2024-06-15 18:10:48,23.8,25.8,8,0.4,2.56,0,0,0
ORD_00141,REST_022,cloud_kitchen,medium,2024-04-26 12:26:00,2024-04-26 13:03:34,2024-04-26 13:03:18,35.3,45.5,5,0.45,7.68,0,1,1
ORD_00142,REST_010,fast_food,large,2024-06-24 15:04:00,2024-06-24 15:35:23,2024-06-24 15:34:36,29.6,41.5,12,0.6,5.76,1,0,1
ORD_00143,REST_009,cloud_kitchen,small,2024-05-22 01:37:00,2024-05-22 01:56:30,2024-05-22 01:53:30,17.5,19.5,2,0.1,4.28,0,0,0
ORD_00144,REST_023,cloud_kitchen,small,2024-06-19 13:55:00,2024-06-19 14:18:12,2024-06-19 14:20:12,22.2,23.2,2,0.3,2.21,0,1,0
ORD_00145,REST_007,fast_food,small,2024-05-27 16:13:00,2024-05-27 16:38:54,2024-05-27 16:36:54,24.9,25.9,2,0.1,2.08,0,0,0
ORD_00146,REST_036,fast_food,medium,2024-04-04 03:48:00,2024-04-04 03:57:42,2024-04-04 04:01:42,10.7,9.7,4,0.2,4.91,0,0,0
ORD_00147,REST_039,casual_dining,large,2024-06-17 22:17:00,2024-06-17 22:54:12,2024-06-17 22:57:12,36.2,37.2,11,0.55,5.22,1,0,0
ORD_00148,REST_023,cloud_kitchen,small,2024-01-02 05:55:00,2024-01-02 06:19:58,2024-01-02 06:19:18,26.3,34.7,1,0.05,3.2,0,0,1
ORD_00149,REST_006,fast_food,large,2024-05-15 06:24:00,2024-05-15 06:48:58,2024-05-15 06:48:12,24.2,29.9,12,0.6,7.06,0,0,1
ORD_00150,REST_037,fast_food,large,2024-06-01 02:56:00,2024-06-01 03:21:23,2024-06-01 03:21:18,21.3,30.0,13,0.65,7.18,1,0,1
ORD_00151,REST_043,fast_food,small,2024-04-18 15:38:00,2024-04-18 15:52:42,2024-04-18 15:53:42,15.7,14.7,1,0.05,3.14,0,0,0
ORD_00152,REST_023,cloud_kitchen,small,2024-04-20 03:18:00,2024-04-20 03:40:36,2024-04-20 03:39:36,21.6,22.6,1,0.05,3.82,0,0,0
ORD_00153,REST_003,fast_food,small,2024-02-26 12:38:00,2024-02-26 13:02:42,2024-02-26 13:04:42,24.7,24.7,6,0.5,6.73,1,1,0
ORD_00154,REST_049,casual_dining,medium,2024-03-06 09:20:00,2024-03-06 09:48:26,2024-03-06 09:48:18,25.3,34.5,3,0.15,5.44,0,0,1
ORD_00155,REST_046,fast_food,small,2024-02-28 16:35:00,2024-02-28 16:52:23,2024-02-28 16:51:36,17.6,19.3,3,0.15,1.64,0,0,1
ORD_00156,REST_002,fast_food,medium,2024-04-27 02:55:00,2024-04-27 03:08:28,2024-04-27 03:07:48,10.8,16.5,2,0.1,5.38,0,0,1
ORD_00157,REST_008,fast_food,medium,2024-04-13 00:20:00,2024-04-13 00:38:54,2024-04-13 00:37:54,17.9,18.9,4,0.2,5.3,0,0,0
ORD_00158,REST_006,fast_food,large,2024-04-21 03:15:00,2024-04-21 03:43:19,2024-04-21 03:42:24,25.4,33.8,11,0.55,6.82,0,0,1
ORD_00159,REST_022,cloud_kitchen,medium,2024-02-26 10:49:00,2024-02-26 11:25:56,2024-02-26 11:25:24,34.4,42.8,11,0.55,4.44,0,0,1
ORD_00160,REST_050,casual_dining,medium,2024-03-30 11:46:00,2024-03-30 12:08:04,2024-03-30 12:07:48,20.8,25.6,3,0.15,0.85,0,0,1
ORD_00161,REST_039,casual_dining,large,2024-02-09 20:04:00,2024-02-09 20:53:42,2024-02-09 20:52:42,47.7,49.7,20,1.0,7.75,1,1,0
ORD_00162,REST_044,casual_dining,large,2024-05-24 20:40:00,2024-05-24 21:39:34,2024-05-24 21:39:06,55.1,66.7,18,1.0,9.75,0,1,1
